Listo. Formato de comando: <etiqueta> <numero_de_ventanas>
Ejemplo: reposo 20
Listo. Formato de comando: <etiqueta> <numero_de_ventanas>
Ejemplo: reposo 20
INICIO_VENTANA reposo
ax,ay,az,gx,gy,gz
-0.0057,-0.2321,1.0186,-92.5293,7.8125,-32.7759
-0.0137,-0.2241,1.0402,-41.1377,4.7607,-22.0947
-0.0320,-0.1495,1.0173,-9.8267,0.0000,-15.8691
-0.0255,-0.1699,1.0194,-27.2827,-7.2021,-17.8223
-0.0331,-0.1042,1.0190,-16.1133,-9.5215,-9.3384
-0.0150,-0.0897,1.0011,-28.6865,8.1787,4.5166
-0.1637,-0.0336,1.1393,-46.8140,26.0010,2.9297
0.0062,0.2180,1.4335,-78.7354,3.1128,-24.5361
-0.0288,-0.0560,1.0248,5.7983,2.6245,-10.6812
-0.0226,-0.0316,1.0236,5.7983,2.8687,-1.0986
-0.0269,-0.0304,1.0237,5.8594,2.7466,-1.4648
-0.0272,-0.0302,1.0229,5.4932,2.6855,-2.7466
-0.0217,-0.0448,1.0232,5.6763,2.8687,-0.7935
-0.0306,-0.0360,1.0240,5.6152,2.7466,-3.0518
-0.0316,-0.0385,1.0238,5.4932,2.8076,-4.5166
-0.0293,-0.0345,1.0238,5.9204,2.6855,-1.8311
-0.0240,-0.0330,1.0236,5.9204,2.6245,-0.0610
-0.0212,-0.0308,1.0239,5.5542,2.6245,1.4038
-0.0231,-0.0336,1.0237,5.7983,2.7466,-0.7935
-0.0237,-0.0327,1.0243,5.7983,2.7466,-0.4883
-0.0239,-0.0341,1.0248,5.9204,2.7466,-1.4038
-0.0244,-0.0383,1.0232,5.6152,2.5635,-3.1738
-0.0243,-0.0255,1.0242,5.7373,2.8687,-9.1553
-0.0377,-0.0239,1.0248,6.0425,2.5024,-6.1035
-0.0424,0.0323,1.0225,5.6763,2.4414,-14.6484
-0.0013,-0.0973,1.0245,5.5542,2.8076,-15.6860
-0.0249,-0.0092,1.0244,5.7373,2.6855,-6.1646
-0.0269,-0.0033,1.0266,5.7983,2.5024,-19.5313
-0.0312,-0.0657,1.0239,6.0425,2.6855,-21.7896
-0.0281,-0.0637,1.0244,5.8594,2.5635,-15.3809
-0.0166,-0.0474,1.0250,5.7983,2.6855,-9.7046
-0.0181,-0.0151,1.0245,5.8594,2.7466,-13.2446
-0.0300,-0.0323,1.0485,5.9814,2.6855,-8.1177
-0.0258,0.2428,1.3795,45.5322,2.9297,-10.4370
-0.0447,-0.1664,0.9323,86.5479,4.2725,-24.4141
-0.0282,-0.1262,1.0027,11.2915,3.0518,-3.4790
0.0227,-0.1281,0.9618,-17.7612,1.8311,8.3008
-0.0563,-0.0146,1.0803,-106.0791,-6.0425,17.5171
0.0115,-0.0233,1.0443,-12.2681,10.1929,-2.3193
-0.0229,-0.0365,1.0255,5.4321,3.0518,-3.7231
-0.0472,-0.0344,1.0244,5.9204,2.8076,0.7935
-0.0225,-0.0350,1.0247,5.8594,2.6855,-0.0610
-0.0421,-0.0386,1.0251,5.6763,2.9297,-1.1597
-0.0271,-0.0341,1.0249,5.6763,2.6855,2.2583
-0.0153,-0.0342,1.0248,5.5542,2.9297,3.1738
-0.0250,-0.0352,1.0243,5.6152,2.6855,1.6479
-0.0212,-0.0339,1.0243,5.9204,2.7466,-1.1597
-0.0674,-0.0289,1.0245,5.7373,2.7466,1.0376
-0.0011,-0.0397,1.0229,5.9814,2.6245,1.4648
-0.0238,-0.0403,1.0238,6.0425,2.6855,-0.7935
-0.0459,-0.0242,1.0250,5.6763,2.7466,0.6104
-0.0002,-0.0292,1.0237,5.8594,2.5635,0.4883
0.0004,-0.0417,1.0240,5.6763,2.9297,-2.8076
-0.0150,-0.0426,1.0243,5.8594,2.6855,-4.2114
-0.0256,-0.0245,1.0233,5.7983,2.6855,-3.6621
-0.0002,-0.0720,1.0232,6.1646,2.8076,-4.5166
-0.0236,-0.0293,1.0304,5.9814,2.9297,-0.7935
-0.0220,-0.0321,1.0247,5.6152,2.8687,-0.6104
-0.0159,-0.0563,1.0227,5.6152,2.8687,-6.8970
-0.0228,-0.0386,1.0233,5.6763,2.8076,-3.8452
-0.0256,-0.0350,1.0242,5.9204,2.7466,-2.9297
-0.0233,-0.0273,1.0237,5.6763,2.9297,-3.6621
-0.0264,-0.0383,1.0238,5.8594,2.6245,-3.1738
-0.0203,-0.0333,1.0237,5.9204,2.6855,-1.5259
-0.0236,-0.0601,1.0238,5.9814,2.6855,-4.4556
-0.0244,-0.0331,1.0237,5.9204,2.6245,-0.3662
-0.0410,0.0037,1.0240,5.6763,2.8687,0.4883
0.0012,-0.0803,1.0236,6.0425,2.8076,-5.0659
-0.0167,-0.0460,1.0237,5.8594,2.9297,-1.5259
-0.0237,-0.0353,1.0229,5.7373,2.9297,-2.1973
-0.0222,-0.0342,1.0225,5.8594,2.7466,-1.3428
-0.0229,-0.0417,1.0229,5.7983,2.6855,-3.1738
-0.0204,-0.0347,1.0231,5.7983,2.8687,-3.5400
-0.0216,-0.0317,1.0236,5.6152,2.8076,-3.3569
-0.0262,-0.0333,1.0221,5.7983,2.8687,-1.7700
-0.0187,-0.0361,1.0236,5.9814,2.8687,-1.2817
-0.0179,-0.0383,1.0225,5.7373,2.7466,-2.9907
-0.0259,-0.0332,1.0221,5.7983,2.9907,-2.2583
-0.0303,-0.0327,1.0236,5.7373,2.7466,-1.5259
-0.0221,-0.0334,1.0227,5.9204,2.7466,-0.6104
-0.0212,-0.0352,1.0222,5.7983,2.6855,-0.9766
-0.0254,-0.0338,1.0229,5.6152,2.8076,-2.3804
-0.0226,-0.0343,1.0233,5.7983,2.6855,-1.5869
-0.0233,-0.0355,1.0223,5.6152,2.8076,-1.5869
-0.0199,-0.0348,1.0227,5.7373,2.7466,-2.5635
-0.0231,-0.0341,1.0220,6.0425,2.7466,-2.7466
-0.0238,-0.0330,1.0234,5.7983,2.6855,-1.4648
-0.0203,-0.0354,1.0219,5.6763,2.7466,-0.7935
-0.0219,-0.0353,1.0227,5.9204,2.9297,-1.4038
-0.0248,-0.0320,1.0242,5.8594,2.9907,-1.8921
-0.0217,-0.0341,1.0242,5.6763,2.8076,-0.9766
-0.0221,-0.0345,1.0219,5.7983,2.9297,-0.6104
-0.0211,-0.0356,1.0234,5.7373,2.8687,-0.8545
FIN_VENTANA
INICIO_VENTANA reposo
-0.0228,-0.0310,1.0238,5.7983,2.7466,0.1831
-0.0222,-0.0345,1.0233,5.7983,2.7466,-0.7324
-0.0216,-0.0337,1.0237,5.7983,2.7466,-1.1597
-0.0233,-0.0347,1.0242,5.8594,3.0518,-1.0376
-0.0231,-0.0345,1.0222,5.6152,2.8687,-0.0610
-0.0217,-0.0331,1.0239,5.7373,2.8076,-0.6104
-0.0226,-0.0347,1.0242,5.9204,2.6855,-0.5493
-0.0220,-0.0341,1.0233,5.9204,2.7466,-0.6714
-0.0223,-0.0342,1.0216,5.9204,2.8076,-0.5493
-0.0232,-0.0339,1.0248,5.7983,2.7466,-0.5493
-0.0225,-0.0345,1.0236,5.8594,2.8076,-0.6104
-0.0215,-0.0342,1.0221,5.7983,2.6855,-0.7324
-0.0238,-0.0344,1.0250,5.8594,2.8076,-0.6714
-0.0212,-0.0344,1.0201,5.7983,2.6855,-0.4883
-0.0219,-0.0338,1.0254,5.9204,2.7466,-0.9155
-0.0237,-0.0333,1.0269,5.7373,2.6855,-0.4883
-0.0209,-0.0328,1.0204,5.9204,2.7466,0.1221
-0.0238,-0.0349,1.0243,5.8594,2.7466,-1.2207
-0.0223,-0.0345,1.0205,5.9814,2.8687,-0.3662
-0.0220,-0.0342,1.0232,5.8594,2.7466,0.0000
-0.0243,-0.0361,1.0250,5.6152,2.6245,-0.1221
-0.0216,-0.0330,1.0222,5.7983,2.8076,-0.3052
-0.0220,-0.0339,1.0225,5.8594,2.9297,-0.7324
-0.0227,-0.0339,1.0234,5.7983,2.6855,-0.7324
-0.0234,-0.0350,1.0228,5.9204,2.7466,-0.1221
-0.0219,-0.0332,1.0244,5.7373,2.9297,-0.3052
-0.0228,-0.0328,1.0227,5.7983,2.8687,-0.5493
-0.0229,-0.0337,1.0233,5.7373,2.8076,-0.8545
-0.0225,-0.0343,1.0237,5.7983,2.8076,-1.0376
-0.0217,-0.0342,1.0234,5.9204,2.9907,-0.8545
-0.0229,-0.0352,1.0229,5.8594,2.8076,-0.3052
-0.0232,-0.0338,1.0225,5.8594,2.7466,-0.3052
-0.0229,-0.0328,1.0228,5.9204,2.6855,0.2441
-0.0223,-0.0330,1.0228,5.7983,2.7466,-0.4272
-0.0227,-0.0342,1.0237,5.7983,2.7466,-0.6714
-0.0248,-0.0367,1.0236,5.7373,2.9297,0.5493
-0.0214,-0.0342,1.0229,5.6763,2.6245,-0.4272
-0.0214,-0.0282,1.0232,5.6763,2.8687,-0.2441
-0.0217,-0.0322,1.0225,5.8594,2.6245,-0.6714
-0.0229,-0.0345,1.0221,5.7373,2.6855,-0.2441
-0.0237,-0.0343,1.0232,5.7983,2.8687,0.3052
-0.0214,-0.0342,1.0220,5.6763,2.6855,-0.6714
-0.0219,-0.0336,1.0223,5.7373,2.7466,-1.0376
-0.0216,-0.0333,1.0231,5.9204,2.9297,-0.9155
-0.0229,-0.0339,1.0233,5.7373,2.7466,-0.1221
-0.0226,-0.0327,1.0251,5.7983,2.6245,-0.7935
-0.0228,-0.0331,1.0227,5.6152,2.7466,-0.5493
-0.0222,-0.0348,1.0215,5.7373,2.8076,-0.5493
-0.0238,-0.0326,1.0260,5.8594,2.5635,-0.9155
-0.0217,-0.0337,1.0225,5.9204,2.7466,-1.0986
-0.0240,-0.0316,1.0254,5.9204,2.6855,-0.6104
-0.0231,-0.0345,1.0208,5.9814,2.8076,-0.3052
-0.0219,-0.0349,1.0250,5.7983,2.6855,-1.0986
-0.0197,-0.0388,1.0227,5.6763,2.6855,-0.6104
-0.0262,-0.0234,1.0222,5.6763,2.7466,0.6104
-0.0220,-0.0334,1.0225,5.6152,2.7466,0.0000
-0.0234,-0.0331,1.0240,5.7983,2.7466,-0.7324
-0.0227,-0.0333,1.0214,5.8594,2.5635,-0.8545
-0.0221,-0.0336,1.0239,5.6763,2.7466,-0.6714
-0.0214,-0.0356,1.0221,5.6763,2.6245,-0.8545
-0.0211,-0.0344,1.0220,5.7983,2.8076,-0.8545
-0.0225,-0.0330,1.0227,5.7983,2.8076,-0.7324
-0.0227,-0.0326,1.0221,5.6152,2.8076,-0.1831
-0.0211,-0.0339,1.0233,5.7373,2.6855,-0.3052
-0.0221,-0.0345,1.0236,5.7983,2.6245,-1.0986
-0.0216,-0.0326,1.0222,5.6763,2.6855,-1.2207
-0.0221,-0.0336,1.0228,5.7373,2.7466,-0.5493
-0.0228,-0.0343,1.0231,5.7983,2.6855,-0.1831
-0.0228,-0.0334,1.0236,5.7983,2.7466,-0.8545
-0.0223,-0.0344,1.0223,5.6763,2.8076,-0.3662
-0.0217,-0.0338,1.0247,5.7373,2.9297,-0.3052
-0.0188,-0.0299,1.0221,5.7983,2.9297,1.0986
-0.0225,-0.0348,1.0225,6.0425,2.6245,-0.9766
-0.0229,-0.0341,1.0226,5.7373,2.7466,-1.2207
-0.0236,-0.0331,1.0234,5.7983,2.7466,-0.4883
-0.0232,-0.0339,1.0243,5.9814,2.8687,-0.0610
-0.0226,-0.0333,1.0238,5.7373,2.8687,-1.2207
-0.0211,-0.0332,1.0214,5.7373,2.6855,-1.1597
-0.0225,-0.0331,1.0237,5.7373,2.7466,-0.6104
-0.0221,-0.0334,1.0247,5.7373,2.7466,-0.3662
-0.0204,-0.0333,1.0221,5.8594,2.6855,-0.2441
-0.0219,-0.0337,1.0225,5.7373,2.8687,-1.2817
-0.0227,-0.0332,1.0220,5.6152,2.6855,-0.6714
-0.0227,-0.0339,1.0237,5.7373,2.7466,0.1831
-0.0221,-0.0345,1.0232,5.6763,2.7466,-0.8545
-0.0225,-0.0328,1.0219,5.7373,2.8687,-1.0986
-0.0220,-0.0338,1.0223,5.6763,2.5635,-0.3662
-0.0229,-0.0334,1.0233,5.6763,2.6245,-0.2441
-0.0222,-0.0339,1.0226,5.5542,2.5635,-0.6104
-0.0231,-0.0332,1.0228,5.6763,2.8076,-0.7935
-0.0222,-0.0348,1.0223,5.7373,2.7466,-0.6104
-0.0212,-0.0344,1.0223,5.8594,2.6855,-0.2441
-0.0231,-0.0333,1.0232,5.7373,2.7466,-1.1597
-0.0220,-0.0339,1.0219,5.7983,2.7466,-1.0376
-0.0229,-0.0333,1.0220,5.6152,2.8687,-0.6714
-0.0228,-0.0334,1.0227,5.6152,2.6245,-0.8545
-0.0217,-0.0339,1.0232,5.9204,2.8687,-0.7935
-0.0219,-0.0320,1.0222,5.6763,2.7466,-1.2207
-0.0210,-0.0328,1.0227,5.8594,2.7466,-0.6104
-0.0215,-0.0339,1.0228,5.9204,2.7466,-0.4883
FIN_VENTANA
INICIO_VENTANA reposo
-0.0247,-0.0286,1.0238,5.6763,2.7466,-0.2441
-0.0212,-0.0360,1.0226,5.7373,2.6855,-0.6104
-0.0261,-0.0250,1.0250,5.7373,2.7466,0.5493
-0.0222,-0.0317,1.0203,5.6763,2.7466,-0.3052
-0.0237,-0.0325,1.0233,5.9814,2.6855,-0.9155
-0.0220,-0.0348,1.0199,5.6763,2.8687,-0.1831
-0.0208,-0.0363,1.0206,5.8594,2.7466,-0.6104
-0.0220,-0.0350,1.0243,5.9204,2.8076,0.4272
-0.0231,-0.0334,1.0214,5.7983,2.8687,-0.1831
-0.0223,-0.0348,1.0240,5.7373,2.7466,-0.3662
-0.0227,-0.0339,1.0210,5.6763,2.7466,-0.3662
-0.0226,-0.0345,1.0242,5.8594,2.8076,-0.1831
-0.0232,-0.0337,1.0226,5.7983,2.7466,-0.0610
-0.0225,-0.0334,1.0229,5.9204,2.8076,0.1831
-0.0222,-0.0332,1.0219,5.8594,2.7466,-0.5493
-0.0231,-0.0328,1.0229,5.7373,2.8687,-0.8545
-0.0225,-0.0331,1.0226,5.7373,2.6855,-0.3052
-0.0234,-0.0344,1.0229,5.6763,2.7466,-0.4272
-0.0216,-0.0328,1.0222,5.8594,2.7466,-0.7324
-0.0212,-0.0356,1.0220,5.7373,2.8076,-0.8545
-0.0236,-0.0322,1.0214,5.7983,2.6855,-0.6104
-0.0217,-0.0349,1.0226,5.7983,2.8076,0.4272
-0.0211,-0.0332,1.0233,5.7373,2.8076,0.5493
-0.0225,-0.0338,1.0219,5.7373,2.8076,-0.7935
-0.0212,-0.0363,1.0215,5.9204,2.6855,-0.7935
-0.0283,-0.0256,1.0221,5.7983,2.8687,0.8545
-0.0225,-0.0333,1.0227,6.1035,2.7466,0.2441
-0.0210,-0.0372,1.0216,5.8594,2.8076,-1.1597
-0.0238,-0.0306,1.0220,5.7983,2.7466,-0.2441
-0.0233,-0.0333,1.0221,5.7373,2.8687,-0.1221
-0.0221,-0.0339,1.0220,5.9814,2.6245,-0.7324
-0.0227,-0.0339,1.0214,5.7373,3.1128,-0.6714
-0.0242,-0.0315,1.0217,5.7373,2.9297,-0.3052
-0.0215,-0.0341,1.0223,5.9204,2.8076,0.3662
-0.0233,-0.0338,1.0221,5.6763,2.8687,-0.9766
-0.0216,-0.0321,1.0219,5.9204,2.9297,-0.6104
-0.0217,-0.0325,1.0212,5.9204,2.6855,-0.1221
-0.0199,-0.0333,1.0184,5.7983,2.8687,0.1831
-0.0221,-0.0337,1.0215,5.6152,2.9297,-0.6714
-0.0226,-0.0322,1.0216,5.7983,2.8687,-0.4883
-0.0225,-0.0319,1.0273,5.8594,2.6855,-0.4883
-0.0231,-0.0323,1.0253,5.9814,2.6855,-0.4272
-0.0237,-0.0325,1.0225,5.7373,2.9297,-0.6714
-0.0225,-0.0334,1.0277,5.7373,2.8076,-0.6104
-0.0238,-0.0343,1.0232,5.7983,2.7466,-0.8545
-0.0217,-0.0343,1.0216,5.7983,2.8076,-0.3662
-0.0226,-0.0338,1.0182,5.8594,2.8076,-0.4883
-0.0226,-0.0336,1.0173,5.9204,2.8076,-0.3662
-0.0222,-0.0330,1.0177,5.9204,2.8076,-0.4272
-0.0221,-0.0347,1.0183,5.8594,2.6855,-0.4272
-0.0216,-0.0334,1.0176,5.6152,2.6855,-0.9766
-0.0226,-0.0331,1.0216,5.6152,2.8687,-0.7935
-0.0193,-0.0349,1.0212,5.7373,2.6855,-0.7935
-0.0233,-0.0312,1.0243,5.6152,2.7466,-0.4883
-0.0215,-0.0344,1.0221,5.6152,2.6245,-0.2441
-0.0219,-0.0343,1.0208,5.9204,2.6855,-0.9155
-0.0211,-0.0341,1.0211,5.7983,2.6245,-0.6714
-0.0228,-0.0333,1.0225,5.4932,2.8076,-0.2441
-0.0206,-0.0353,1.0212,5.9204,2.6855,-0.8545
-0.0227,-0.0331,1.0228,6.0425,2.8687,-0.9155
-0.0214,-0.0358,1.0232,5.7373,2.6855,-0.6104
-0.0243,-0.0317,1.0205,6.1035,2.7466,-0.3662
-0.0221,-0.0325,1.0216,5.7983,2.5635,-0.3052
-0.0226,-0.0334,1.0208,5.6763,2.6855,-0.4883
-0.0227,-0.0342,1.0204,5.8594,2.7466,-0.4883
-0.0220,-0.0334,1.0227,5.7983,2.8076,0.0000
-0.0229,-0.0327,1.0217,5.7373,2.8076,0.3662
-0.0229,-0.0325,1.0227,5.9204,2.7466,-0.4883
-0.0227,-0.0333,1.0225,5.7373,2.7466,-0.3662
-0.0225,-0.0333,1.0219,5.6763,2.6245,-0.7324
-0.0225,-0.0331,1.0236,5.7373,2.8076,-0.1221
-0.0231,-0.0333,1.0223,5.7983,2.6855,-0.1831
-0.0229,-0.0333,1.0217,5.7983,2.6855,-0.9766
-0.0223,-0.0327,1.0227,5.5542,2.6855,-0.7324
-0.0219,-0.0337,1.0219,5.7983,2.8687,-0.1221
-0.0223,-0.0341,1.0234,5.8594,2.8076,-0.6104
-0.0206,-0.0334,1.0233,5.7373,2.8076,-0.3662
-0.0232,-0.0334,1.0233,5.9204,2.8687,-0.1221
-0.0217,-0.0332,1.0229,5.9814,2.7466,-0.6714
-0.0249,-0.0348,1.0221,5.7373,2.8687,-1.6479
-0.0225,-0.0326,1.0228,5.8594,2.6855,-0.4883
-0.0203,-0.0332,1.0231,6.1035,2.7466,-0.6714
-0.0234,-0.0326,1.0220,5.7373,2.6855,-0.3662
-0.0229,-0.0336,1.0225,5.8594,2.8076,-0.4272
-0.0226,-0.0334,1.0226,5.7983,2.7466,-0.3662
-0.0226,-0.0339,1.0239,5.6152,2.5635,-0.6714
-0.0225,-0.0334,1.0222,5.8594,2.8076,-0.4883
-0.0238,-0.0338,1.0234,5.7983,2.7466,-0.0610
-0.0231,-0.0323,1.0234,5.7983,2.8687,-1.0376
-0.0226,-0.0331,1.0227,5.7983,2.6245,0.0610
-0.0140,-0.0353,1.0225,5.9204,2.6855,-0.7935
-0.0304,-0.0297,1.0228,5.7983,2.8687,-0.4272
-0.0223,-0.0345,1.0234,5.9204,2.8687,-0.2441
-0.0116,-0.0422,1.0229,5.7983,2.9297,-1.0986
-0.0319,-0.0264,1.0219,5.6152,2.8687,-0.1831
-0.0223,-0.0334,1.0228,5.9204,2.7466,-0.1221
-0.0231,-0.0336,1.0234,5.7983,2.7466,-0.3662
-0.0223,-0.0327,1.0228,5.7983,2.7466,-0.9155
-0.0266,-0.0321,1.0237,5.7373,2.7466,-0.5493
-0.0315,-0.0325,1.0226,5.9814,2.7466,-0.4272
FIN_VENTANA
INICIO_VENTANA reposo
-0.0228,-0.0331,1.0225,5.7983,2.7466,-0.7935
-0.0219,-0.0336,1.0232,5.7373,2.6855,-0.3052
-0.0233,-0.0342,1.0209,5.8594,2.8076,-0.6104
-0.0217,-0.0325,1.0223,5.7983,2.8076,-0.5493
-0.0227,-0.0334,1.0236,5.8594,2.6855,-0.1831
-0.0223,-0.0334,1.0223,5.9814,2.8687,-0.4883
-0.0226,-0.0336,1.0227,5.8594,2.8687,-0.3052
-0.0216,-0.0334,1.0217,5.9814,2.8076,-0.0610
-0.0243,-0.0347,1.0219,5.7373,2.7466,-0.1221
-0.0212,-0.0310,1.0216,6.1646,2.7466,-0.1831
-0.0227,-0.0343,1.0220,5.8594,2.8076,-0.0610
-0.0227,-0.0333,1.0210,5.6152,2.6855,0.8545
-0.0212,-0.0315,1.0212,5.7373,2.7466,1.0986
-0.0208,-0.0350,1.0225,5.7373,2.8076,0.2441
